"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR","W","L","H","R","ER","HR","BB","IBB","HBP","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","FB%","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","SIERA","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Shane Bieber","CLE","8","1","0","12","12","77.1","14.20","2.44","0.81",".267","91.1%","48.4%","15.2%","89.3","1.63","2.07","2.04","3.2","8","1","46","15","14","7","21","0","1","122","74","46","33","4","453","785","1238","32","7","0","0","30.1%","37.0%","65.6%","46.7%","44.0%","84.4%","63.3%","34.0%","63.0%","17.1%","2.52","37.4%","","16.2%","","","","11.6%","","26.3%","","8.5%","","","","94.1","","89.3","","","","84.5","","83.6","","88.7","","","43.8%","35.3%","20.9%","20.3%","52.9%","26.8%","19427"
"Trevor Bauer","CIN","5","4","0","11","11","73.0","12.33","2.10","1.11",".215","90.9%","34.4%","12.0%","88.5","1.73","2.88","3.25","2.5","5","4","41","17","14","9","17","1","3","100","54","75","28","11","424","741","1165","33","5","1","0","47.8%","31.5%","67.8%","46.0%","56.4%","82.9%","72.0%","40.0%","59.0%","12.9%","2.94","40.4%","","19.9%","","","7.4%","16.3%","","15.7%","","0.3%","","","","93.5","","85.0","","","93.3","80.7","","79.7","","84.3","","","35.4%","38.6%","25.9%","20.3%","54.4%","25.3%","12703"
"Dallas Keuchel","CHW","6","2","0","11","11","63.1","5.97","2.42","0.28",".255","81.6%","52.8%","4.7%","86.8","1.99","3.08","3.98","1.8","6","2","52","15","14","2","17","0","0","42","103","43","49","6","367","593","960","44","6","3","0","22.1%","31.9%","68.4%","45.0%","70.4%","84.7%","78.2%","35.9%","54.9%","9.8%","4.57","2.0%","","31.0%","","","32.5%","6.6%","","","","27.9%","","","","88.6","","84.8","","","87.2","75.8","","","","78.6","","","39.4%","41.4%","19.2%","18.7%","56.1%","25.3%","9434"
"Yu Darvish","CHC","8","3","0","12","12","76.0","11.01","1.66","0.59",".295","83.8%","43.2%","8.8%","88.7","2.01","2.23","2.82","3.0","8","3","59","18","17","5","14","1","2","93","80","57","48","5","357","796","1153","39","4","2","1","30.8%","33.9%","65.9%","49.3%","53.7%","80.3%","70.8%","48.0%","63.0%","14.4%","3.14","15.4%","","44.3%","4.1%","","9.5%","15.6%","3.7%","7.2%","","","","","","95.8","","87.1","89.5","","95.0","82.0","72.8","79.6","","","","","44.9%","30.5%","24.6%","15.0%","50.8%","34.2%","13074"
"Dinelson Lamet","SDP","3","1","0","12","12","69.0","12.13","2.61","0.65",".234","80.4%","36.9%","7.9%","88.7","2.09","2.48","3.30","2.5","3","1","39","18","16","5","20","0","4","93","55","63","31","3","351","695","1046","40","2","1","1","42.3%","32.4%","65.5%","47.2%","48.7%","82.4%","69.6%","44.8%","65.5%","14.3%","3.16","36.7%","","","","","9.9%","53.4%","","","","","","","","97.0","","","","","97.0","86.5","","","","","","","35.3%","36.0%","28.7%","16.7%","47.3%","36.0%","17186"
"Chris Bassitt","OAK","5","2","0","11","11","63.0","7.86","2.43","0.86",".276","85.6%","43.8%","8.6%","88.2","2.29","3.59","4.49","1.3","5","2","56","18","16","6","17","0","2","55","81","70","34","5","335","611","946","35","9","2","0","37.8%","28.9%","67.9%","46.4%","68.2%","84.0%","78.6%","44.8%","57.1%","9.9%","4.46","16.5%","","23.0%","","","38.2%","2.6%","9.4%","","","10.3%","","","","93.3","","87.8","","","92.6","74.5","70.0","","","83.6","","","39.6%","36.4%","24.1%","17.1%","49.2%","33.7%","12304"
"Jacob deGrom","NYM","4","2","0","12","12","68.0","13.76","2.38","0.93",".288","79.7%","42.5%","13.0%","88.2","2.38","2.26","2.46","2.6","4","2","47","21","18","7","18","0","0","104","62","54","30","5","373","762","1135","49","6","0","0","37.0%","39.7%","76.1%","53.8%","45.7%","71.6%","59.8%","38.7%","60.4%","21.6%","2.70","44.9%","","","","","","35.6%","2.6%","","","16.9%","","","","98.6","","","","","","92.5","83.9","","","91.4","","","39.0%","33.6%","27.4%","17.1%","49.3%","33.6%","10954"
"Hyun-Jin Ryu","TOR","5","2","0","12","12","67.0","9.67","2.28","0.81",".302","80.5%","51.1%","11.8%","87.0","2.69","3.01","3.32","1.8","5","2","60","22","20","6","17","0","1","72","93","51","38","3","411","721","1132","38","5","3","1","28.0%","34.0%","71.0%","48.8%","67.1%","82.9%","76.3%","39.9%","58.5%","11.6%","3.67","24.1%","","24.2%","","","10.6%","","13.3%","","","27.8%","","","","89.8","","85.5","","","89.2","","72.4","","","79.6","","","49.2%","25.9%","24.9%","15.7%","60.0%","24.3%","14444"
"Kenta Maeda","MIN","6","1","0","11","11","66.2","10.80","1.35","1.21",".208","80.2%","49.0%","18.8%","85.3","2.70","3.00","2.63","2.1","6","1","40","20","20","9","10","0","0","80","77","48","32","9","314","672","986","52","5","1","0","30.6%","40.8%","70.5%","52.4%","48.2%","84.2%","67.1%","39.1%","64.5%","17.2%","2.92","19.4%","","2.6%","","","6.4%","38.6%","3.4%","","","29.5%","","","","91.6","","87.2","","","90.7","82.9","78.5","","","84.5","","","45.6%","34.8%","19.6%","28.5%","50.0%","21.5%","18498"
"Zach Davies","SDP","7","4","0","12","12","69.1","8.18","2.47","1.17",".249","78.2%","41.3%","12.9%","87.5","2.73","3.88","4.14","1.4","7","4","55","26","21","9","19","0","0","63","78","70","41","7","409","646","1055","53","1","5","2","37.0%","29.5%","63.6%","41.5%","64.4%","85.6%","75.8%","35.2%","56.2%","10.0%","4.32","","","13.6%","","","42.2%","","2.8%","","","41.3%","","","","","","86.9","","","88.4","","74.5","","","79.4","","","43.3%","33.0%","23.7%","13.9%","57.2%","28.9%","13183"
